time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1594369406.02307701,0.02192284,13546,0.00028688,0.00000000,0,0.00000000,9085,9063,145,0.00270988
1594369406.12300324,0.02452087,13528,0.00028614,0.00000000,0,0.00000000,9063,9145,191,0.00311066
1594369406.22305393,0.01328854,13542,0.00027664,0.00000000,0,0.00000000,9145,9161,173,0.00507947
1594369406.32301688,0.02087308,13545,0.00025957,0.00000000,0,0.00000000,9161,9271,188,0.00265554
1594369406.42299294,0.02265157,13533,0.00029395,0.00000000,0,0.00000000,9271,9272,172,0.00305241
1594369406.52300286,0.02242272,13538,0.00034828,0.00000000,0,0.00000000,9272,9355,237,0.00306135
1594369406.62296438,0.02321821,13540,0.00043084,0.00000000,0,0.00000000,9355,9417,289,0.00314734
1594369406.72301865,0.02119869,13563,0.00031042,0.00000000,0,0.00000000,9417,9517,219,0.00225090
1594369406.82293844,0.02209282,13538,0.00028107,0.00000000,0,0.00000000,9517,9542,163,0.00305538
1594369406.92291093,0.02243597,13533,0.00020854,0.00000000,0,0.00000000,9542,9607,132,0.00264870
1594369407.02293706,0.02456364,13501,0.00019467,0.00000000,0,0.00000000,9607,9664,132,0.00271341
1594369407.12318516,0.02157288,13496,0.00025564,0.00000000,0,0.00000000,9664,9778,179,0.00313099
1594369407.22343183,0.02389081,13549,0.00046398,0.00000000,0,0.00000000,9778,9791,309,0.00192233
1594369407.32331538,0.02229551,13524,0.00052779,0.00000000,0,0.00000000,9791,9909,376,0.00263794
1594369407.42334676,0.01259585,13515,0.00051083,0.00000000,0,0.00000000,9909,10029,362,0.00177543
1594369407.52348924,0.02351842,13578,0.00055471,0.00000000,0,0.00000000,10029,9979,341,0.00307371
1594369407.62335491,0.01428225,13627,0.00171896,0.00000000,0,0.00000000,9979,10851,1242,0.00267156
1594369407.72325015,0.02352893,13697,0.00210851,0.00000000,0,0.00000000,9828,10778,1656,0.00264238
1594369407.82291460,0.02471062,13790,0.00262294,0.00000000,0,0.00000000,10778,11977,2091,0.00262944
1594369407.92255998,0.02659520,13888,0.00273073,0.00000000,0,0.00000000,11977,12831,1889,0.00251512
1594369408.02257156,0.02620776,14010,0.00268036,0.00000000,0,0.00000000,12831,13351,1659,0.00308242
1594369408.12253976,0.02628672,14197,0.00224950,0.00000000,0,0.00000000,13351,14365,1577,0.00465222
1594369408.22267771,0.03289837,14349,0.00344027,0.00000000,0,0.00000000,14365,15687,2275,0.00288120
1594369408.32309365,0.02751128,14477,0.00365890,0.00000000,0,0.00000000,15687,17033,2420,0.00263289
1594369408.42334747,0.01958248,14598,0.00238456,0.00000000,0,0.00000000,17033,19105,2170,0.00262514
1594369408.52361202,0.02806309,14688,0.00302539,0.00000000,0,0.00000000,18194,19620,2253,0.00268835
1594369408.62359905,0.03382239,14742,0.00226148,0.00000000,0,0.00000000,19620,20479,1532,0.00344639
1594369408.72356606,0.02668314,14820,0.00200749,0.00000000,0,0.00000000,20479,21191,1399,0.00450347
1594369408.82344031,0.02645694,14868,0.00177375,0.00000000,0,0.00000000,21191,21964,1344,0.00307267
1594369408.92328596,0.01924576,14876,0.00171663,0.00000000,0,0.00000000,21964,22601,1190,0.00299327
1594369409.02304578,0.02539152,14887,0.00204840,0.00000000,0,0.00000000,22601,22951,1179,0.00266095
1594369409.12295604,0.02577051,14917,0.00199625,0.00000000,0,0.00000000,22951,23656,1367,0.00265418
1594369409.22294641,0.02586263,14943,0.00229346,0.00000000,0,0.00000000,23656,24544,1723,0.00335634
1594369409.32271028,0.02666070,15000,0.00229652,0.00000000,0,0.00000000,24544,25426,1620,0.00268773
1594369409.42261505,0.02583803,15034,0.00236129,0.00000000,0,0.00000000,25426,26225,1422,0.00068496
